Rekkefølge;År;Hovedlokalitet;Hovedlokkode;Sted;Nr;Mnd;Dag;Hab;Art;Populasjon;ArtPop;Vekt;Lengde;Lencm;Lengrcm;Kond;Kjønn;Stadium;Operculum;Alder;ALDOK;AltAld;AldMerkn;Mage;MC;Azygia;Gjeddemakk;Gjellelus;Muskel;SIA;Merknad;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;90pigg;sik;lagesild;UidCoreg;abbor;ørekyte;lake;gjedde;ørret;niøye;Egg;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;;;;Piscivorous
164;2018;Skrukkebukta;2;SB;1080;9;11;1;2;;2;45,4;157;15,7;15;1,173159051;1;1;+;5;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
489;2019;Skrukkebukta;2;SB;1020;9;10;1;2;          ;2;45;157;15,7;15;1,162822848;2;2;+;6;1;-;;        +;         -;         -;             -;0;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
987;2020;Skrukkebukta;2;SB;1055;9;11;1;2;-;2;46,7;157;15,7;15;1,206751711;1;1;+;6;1;-;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
104;2018;Skrukkebukta;2;SB;1011;9;10;1;2;;2;46,6;158;15,8;15;1,181448121;2;2;+;4;1;-;; +;-;-;-;0;+;+;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;Godt fordøyd;;;;1
157;2018;Skrukkebukta;2;SB;1073;9;10;1;2;;2;46,6;159;15,9;15;1,159296551;1;1;+;6;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
568;2019;Skrukkebukta;2;SB;1103;9;11;1;2;          ;2;42,8;159;15,9;15;1,064761639;1;1;+;5;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
586;2019;Skrukkebukta;2;SB;1121;9;11;1;2;          ;2;45,8;159;15,9;15;1,139394464;1;1;+;4;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
550;2019;Skrukkebukta;2;SB;1084;9;11;1;2;          ;2;46,2;160;16;16;1,127929688;1;1;+;6;1;-;;        +;         -;         -;             -;0;              +;               -;;10;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
106;2018;Skrukkebukta;2;SB;1013;9;10;1;2;;2;53;160;16;16;1,293945313;2;2;+;6;1;-;; +;-;-;-;0;+;+;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;1
533;2019;Skrukkebukta;2;SB;1066;9;10;1;2;          ;2;45,4;161;16,1;16;1,087873067;1;1;+;5;1;4;;        +;         -;         -;             -;1;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1003;2020;Skrukkebukta;2;SB;1071;9;11;1;2;-;2;44,7;161;16,1;16;1,071099694;2;2;+;6;1;-;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
563;2019;Skrukkebukta;2;SB;1097;9;11;1;2;          ;2;45,8;161;16,1;16;1,097457852;1;1;+;4;1;-;;        +;         -;         -;             -;0;               -;               -;;10;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;0
488;2019;Skrukkebukta;2;SB;1019;9;10;1;2;          ;2;45,8;161;16,1;16;1,097457852;2;2;+;6;1;-;;        +;         -;         -;             -;2;              +;              +;;30;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
482;2019;Skrukkebukta;2;SB;1011;9;10;1;2;          ;2;46;162;16,2;16;1,081963943;1;1;+;5;1;-;usikker, ødelagt;        +;         -;         -;             -;1;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
500;2019;Skrukkebukta;2;SB;1031;9;10;1;2;          ;2;47,6;162;16,2;16;1,119597472;2;2;+;6;1;7;;        +;         -;         -;             -;2;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1629;2021;Skrukkebukta;2;SB;1006;9;9;1;2;         -;2;52,2;162;16,2;16;1,227793866;2;2;       +;;;;;;        -;        -;        -;1;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1005;2020;Skrukkebukta;2;SB;1073;9;11;1;2;-;2;47,3;162;16,2;16;1,112541185;1;1;+;6;1;-;;+;-;-;-;0;+;-;;5;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
583;2019;Skrukkebukta;2;SB;1118;9;11;1;2;          ;2;45,2;162;16,2;16;1,063147179;1;1;+;5;1;-;;        +;         -;         -;             -;0;               -;               -;;10;;;;;;;;;;;1;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
570;2019;Skrukkebukta;2;SB;1105;9;11;1;2;          ;2;46;163;16,3;16;1,062172415;2;1;+;5;1;6;;        +;         -;         -;             -;0;               -;               -;;20;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
165;2018;Skrukkebukta;2;SB;1081;9;11;1;2;;2;56,2;164;16,4;16;1,274103684;1;2;+;4;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
964;2020;Skrukkebukta;2;SB;1032;9;11;1;2;-;2;45,5;164;16,4;16;1,031525225;2;1;+;6;1;7;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1031;2020;Skrukkebukta;2;SB;1099;9;11;1;2;-;2;50,8;164;16,4;16;1,15168091;1;1;+;8;1;-;;+;-;-;-;0;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
132;2018;Skrukkebukta;2;SB;1039;9;10;1;2;;2;59,8;164;16,4;16;1,355718867;2;2;+;5;1;-;; +;-;-;-;0;+;+;;5;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
131;2018;Skrukkebukta;2;SB;1038;9;10;1;2;;2;57,6;165;16,5;16;1,282243927;2;2;+;5;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
525;2019;Skrukkebukta;2;SB;1057;9;10;1;2;          ;2;51,6;165;16,5;16;1,148676851;1;1;-;-;;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
531;2019;Skrukkebukta;2;SB;1064;9;10;1;2;          ;2;47,2;165;16,5;16;1,050727662;2;1;+;7;1;6;;        +;         -;         -;             -;1;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1028;2020;Skrukkebukta;2;SB;1096;9;11;1;2;-;2;57,9;165;16,5;16;1,288922281;2;2;+;7;1;6;;+;-;-;-;0;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1628;2021;Skrukkebukta;2;SB;1005;9;9;1;2;         -;2;52,2;165;16,5;16;1,162033559;2;2;       +;;;;;;        -;        -;        -;0;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
971;2020;Skrukkebukta;2;SB;1039;9;11;1;2;-;2;52,1;165;16,5;16;1,159807441;1;1;+;6;1;-;;+;-;-;-;1;+;-;;5;;;;;;;;;;;2;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
162;2018;Skrukkebukta;2;SB;1078;9;11;1;2;;2;54,4;165;16,5;16;1,211008153;1;1;+;5;1;-;; +;-;-;-;0;+;+;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;Helt fordøyd;;;;0
508;2019;Skrukkebukta;2;SB;1039;9;10;1;2;          ;2;49,8;165;16,5;16;1,108606728;2;2;+;7;1;-;;        +;         -;         -;             -;1;              +;               -;;50;;;;;;;;;;;5;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;0
