Locality;Site;NR;YEAR;MONTH;Habitat;ART;VEKT;LENMM;LENCM;Kond;SEX;MATURITY;AGE;Measured Hg weight;Omregnfaktor;MHGWet1;MHGWet2;MHGDry;Log10MHGWet1;Log10MHGDry;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;9pigg;sik;lagesild;UidCoreg;abbor;gjedde;niøye;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;SIASample ;%C;%N;δ13C;δ15N;SIAanmerkn;Kolonne1
Vaggatem;RB;1214;2018;9;1;2;471;314;31,4;1,521359893;1;2;19;Dry;0,21;214,3234698;0,21432347;1,020587952;2,331069732;0,008850437;50;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;40;;;;;;;;;;;;;RB-1214;43,31884106;13,94437086;-25,20389481;10,1290875;;
Vaggatem;RB;1215;2018;9;1;2;380;288;28,8;1,590765389;1;2;12;Dry;0,21;129,3115503;0,12931155;0,615769287;2,111637318;-0,210581976;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RB-1215;45,98091362;14,87840532;-24,17100339;9,7253715;;
Vaggatem;RB;1216;2018;9;1;2;364;271;27,1;1,828914954;1;2;13;Dry;0,21;134,1634039;0,134163404;0,638873352;2,127634068;-0,194585226;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RB-1216;45,99214286;14,86724252;-24,49615589;9,9806625;;
Vaggatem;TB;6;2018;9;1;2;39,2;146;14,6;1,259585057;1;1;3;Dry;0,21;52,02236984;0,05202237;0,247725571;1,716190132;-0,606029162;10;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-6;46,7625;14,79893919;-22,35539119;8,607389903;;
Vaggatem;TB;7;2018;9;1;2;125;214;21,4;1,275465433;1;1;6;Dry;0,21;118,5449872;0,118544987;0,564499939;2,073883194;-0,248336101;100;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;6 x små stingsild. Alle utenfor magesekk.;TB-7;46,47780731;15,01767442;-23,91734609;9,607621;;
Vaggatem;TB;8;2018;9;1;2;223;262;26,2;1,23994091;1;1;13;Dry;0,21;289,0520801;0,28905208;1,376438477;2,460976099;0,138756804;10;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;8;;;;;;;;;;;;;TB-8;45,64748276;14,55282759;-25,50238844;8,5834885;;
Vaggatem;TB;13;2018;9;1;2;49,2;150;15;1,457777778;2;2;5;Dry;0,21;59,15973267;0,059159733;0,281713013;1,772026203;-0,550193092;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-13;48,8888796;15,59165217;-23,79924212;9,018257913;;
Vaggatem;TB;14;2018;9;1;2;96,8;194;19,4;1,325776045;2;2;8;Dry;0,21;39,57839264;0,039578393;0,188468536;1,597458153;-0,724761142;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-14;47,58282609;15,32735786;-26,10893285;9,1573985;;
Vaggatem;TB;16;2018;9;1;2;45,8;156;15,6;1,206400985;2;2;5;Dry;0,21;47,85421143;0,047854211;0,227877197;1,679920164;-0,642299131;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-16;48,29648693;15,38329412;-24,45376002;7,987050412;;
Vaggatem;TB;17;2018;9;1;2;11,8;104;10,4;1,049015703;1;1;2;Dry;0,21;31,71482254;0,031714823;0,151022964;1,501262286;-0,820957009;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-17;46,73452381;14,5174898;-26,1038792;7,349094608;;
